City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,yamada,39.4667,141.95,300.35,66,99,1.73,JP,1690155421
321,mocoreta,-30.6189,-57.9634,288.5,53,56,5.87,AR,1690155421
322,ust'-ilimsk,58.0006,102.6619,293.36,68,33,0.49,RU,1690155421
323,abadan,30.3392,48.3043,305.12,17,0,2.06,IR,1690155422
324,tsiombe,-25.3,45.4833,290.36,93,0,2.02,MG,1690155422
325,shiprock,36.7855,-108.687,312.34,10,20,5.78,US,1690155422
326,taghazout,30.5426,-9.7112,294.58,83,2,1.68,MA,1690155422
327,korem,12.5058,39.5228,287.36,79,79,5.0,ET,1690155422
328,zouerate,22.7187,-12.4521,304.4,25,0,6.12,MR,1690155422
329,halstead,51.328,0.1327,289.0,74,31,2.85,GB,1690155422
330,la isla,18.6,-96.15,302.15,73,93,2.52,MX,1690155422
331,tamanrasset,22.785,5.5228,305.1,9,0,2.57,DZ,1690155422
332,guayaramerin,-10.8368,-65.3614,298.92,44,0,1.01,BO,1690155423
333,zaza del medio,21.9961,-79.3669,299.8,79,31,3.92,CU,1690155423
334,newtown,-33.8984,151.1775,288.16,89,75,3.6,AU,1690155423
335,karratha,-20.7377,116.8463,289.78,35,1,9.64,AU,1690155145
336,burang,30.25,81.1667,282.69,82,87,1.09,CN,1690155182
337,prado,-17.3411,-39.2208,295.04,88,44,4.25,BR,1690155423
338,alamo,20.9167,-97.6833,303.95,55,95,4.14,MX,1690155198
339,zinjibar,13.1287,45.3807,304.42,53,100,3.6,YE,1690155423
340,itoman,26.1247,127.6694,304.16,76,20,6.17,JP,1690155183
341,midvagur,62.0511,-7.1939,280.61,87,100,6.17,FO,1690155423
342,piton saint-leu,-21.2196,55.3151,293.19,68,0,2.57,RE,1690155424
343,rosarito,32.3333,-117.0333,301.06,71,94,2.53,MX,1690155424
344,westport,41.1415,-73.3579,301.4,61,0,3.09,US,1690155164
345,bandarbeyla,9.4942,50.8122,299.55,61,100,12.12,SO,1690155424
346,mejit,10.2753,170.8646,301.53,79,15,8.75,MH,1690155424
347,tofol,5.3248,163.0078,299.03,94,100,1.54,FM,1690155419
348,alamogordo,32.8995,-105.9603,308.68,28,20,2.06,US,1690155163
349,fale old settlement,-9.3852,-171.2468,301.6,77,19,6.68,TK,1690155243
